sorting_algorithm,num_trials,sequence_type,size,time,avg_time,standard_deviation
shell_sort,10,decreasing,5000,2025-03-22 13:42:27,0.005393862724304199,0.001021558884458644
shell_sort,10,decreasing,7000,2025-03-22 13:42:28,0.00788116455078125,0.0015708286419893376
shell_sort,10,decreasing,10000,2025-03-22 13:42:28,0.012004208564758301,0.002077553002441558
shell_sort,10,decreasing,20000,2025-03-22 13:42:28,0.023561906814575196,0.0008677371111676658
shell_sort,10,decreasing,30000,2025-03-22 13:42:29,0.036843299865722656,0.0011778151985791846
shell_sort,10,decreasing,40000,2025-03-22 13:42:29,0.05185546875,0.0017932396762765685
shell_sort,10,decreasing,50000,2025-03-22 13:42:30,0.06837985515594483,0.003485074418729351
shell_sort,10,a_shaped,100,2025-03-22 13:42:30,0.0,0.0
shell_sort,10,a_shaped,500,2025-03-22 13:42:30,0.00032401084899902344,0.0004954120073120818
shell_sort,10,a_shaped,1000,2025-03-22 13:42:30,0.0010547637939453125,9.574220451553171e-06
shell_sort,10,a_shaped,3000,2025-03-22 13:42:31,0.0037660837173461915,0.0007477495897798454
shell_sort,10,a_shaped,5000,2025-03-22 13:42:31,0.006430864334106445,0.0005425433928954558
shell_sort,10,a_shaped,7000,2025-03-22 13:42:31,0.009963679313659667,0.0014151683209717937
shell_sort,10,a_shaped,10000,2025-03-22 13:42:31,0.015805387496948244,0.0015027486470350613
shell_sort,10,a_shaped,20000,2025-03-22 13:42:31,0.034856986999511716,0.004434533039161289
shell_sort,10,a_shaped,30000,2025-03-22 13:42:32,0.05137515068054199,0.002586024161805661
shell_sort,10,a_shaped,40000,2025-03-22 13:42:33,0.07802405357360839,0.017118413778419894
shell_sort,10,a_shaped,50000,2025-03-22 13:42:34,0.08978350162506103,0.005825012223550528
shell_sort,10,v_shaped,100,2025-03-22 13:42:34,0.00010056495666503907,0.00030169486999511715
shell_sort,10,v_shaped,500,2025-03-22 13:42:34,0.00039887428283691406,0.0004885193078675993
shell_sort,10,v_shaped,1000,2025-03-22 13:42:34,0.0006983280181884766,0.00045716334506322594
shell_sort,10,v_shaped,3000,2025-03-22 13:42:35,0.003435063362121582,0.0005025539379815394
shell_sort,10,v_shaped,5000,2025-03-22 13:42:35,0.006175088882446289,0.00045613934248485096
shell_sort,10,v_shaped,7000,2025-03-22 13:42:35,0.011298894882202148,0.0027585634832410963
shell_sort,10,v_shaped,10000,2025-03-22 13:42:35,0.014157557487487793,0.000509080062373065
shell_sort,10,v_shaped,20000,2025-03-22 13:42:35,0.03239073753356934,0.001608785857423784
shell_sort,10,v_shaped,30000,2025-03-22 13:42:36,0.05005490779876709,0.0012953430265237927
shell_sort,10,v_shaped,40000,2025-03-22 13:42:37,0.06983776092529297,0.003519900185055784
shell_sort,10,v_shaped,50000,2025-03-22 13:42:38,0.09034550189971924,0.0046624081309734125
heap_sort,10,random,100,2025-03-22 13:42:52,0.0002093791961669922,0.0004189410079700738
heap_sort,10,random,500,2025-03-22 13:42:52,0.0016295671463012694,0.0005347597182863039
heap_sort,10,random,1000,2025-03-22 13:42:52,0.003098464012145996,0.000247015051726596
heap_sort,10,random,3000,2025-03-22 13:42:52,0.01001570224761963,0.00067792379536886
heap_sort,10,random,5000,2025-03-22 13:42:52,0.01841282844543457,0.0007475449979689479
heap_sort,10,random,7000,2025-03-22 13:42:52,0.028563642501831056,0.0012967104901983918
heap_sort,10,random,10000,2025-03-22 13:42:53,0.042522978782653806,0.001961491466447029
heap_sort,10,random,20000,2025-03-22 13:42:54,0.09031810760498046,0.0013195212587879623
heap_sort,10,random,30000,2025-03-22 13:42:56,0.14149420261383056,0.002471484404989477
heap_sort,10,random,40000,2025-03-22 13:42:58,0.20029771327972412,0.006427035483347785
heap_sort,10,random,50000,2025-03-22 13:43:01,0.256378173828125,0.008778453403397979
heap_sort,10,increasing,100,2025-03-22 13:43:01,0.00010440349578857421,0.00031321048736572267
heap_sort,10,increasing,500,2025-03-22 13:43:01,0.0011273622512817383,0.0003025013037102248
heap_sort,10,increasing,1000,2025-03-22 13:43:01,0.002726578712463379,0.00047057593011450737
heap_sort,10,increasing,3000,2025-03-22 13:43:01,0.009795880317687989,0.0017901819878961868
heap_sort,10,increasing,5000,2025-03-22 13:43:01,0.01737067699432373,0.000814513132441664
heap_sort,10,increasing,7000,2025-03-22 13:43:01,0.02491340637207031,0.0009716964818620924
heap_sort,10,increasing,10000,2025-03-22 13:43:02,0.03920555114746094,0.0021607293620216537
heap_sort,10,increasing,20000,2025-03-22 13:43:03,0.0856011152267456,0.003119556242330924
heap_sort,10,increasing,30000,2025-03-22 13:43:04,0.13535008430480958,0.003818393890873382
heap_sort,10,increasing,40000,2025-03-22 13:43:06,0.1878899335861206,0.0030792279138474165
